Incident_ID,Device_ID,Issue_Type,Severity,Start_Time,End_Time
INC000,D008,Overheating,Medium,2025-06-03 16:00:00,2025-06-03 21:00:00
INC001,D014,High CPU,Low,2025-08-20 04:00:00,2025-08-20 08:00:00
INC002,D005,Overheating,Medium,2025-07-14 11:00:00,2025-07-14 14:00:00
INC003,D019,Network Failure,Low,2025-06-18 23:00:00,2025-06-19 04:00:00
INC004,D009,High CPU,Low,2025-07-30 22:00:00,2025-07-30 23:00:00
INC005,D002,Overheating,Low,2025-06-28 00:00:00,2025-06-28 03:00:00
INC006,D013,Network Failure,Critical,2025-07-03 00:00:00,2025-07-03 01:00:00
INC007,D004,High CPU,Critical,2025-08-22 14:00:00,2025-08-22 18:00:00
INC008,D006,High CPU,Critical,2025-08-10 10:00:00,2025-08-10 14:00:00
INC009,D003,High CPU,Critical,2025-06-29 13:00:00,2025-06-29 14:00:00
INC010,D007,Overheating,Low,2025-07-04 11:00:00,2025-07-04 14:00:00
INC011,D018,Memory Leak,High,2025-08-06 18:00:00,2025-08-06 21:00:00
INC012,D005,Overheating,Low,2025-06-22 17:00:00,2025-06-22 18:00:00
INC013,D003,Network Failure,Medium,2025-07-10 10:00:00,2025-07-10 13:00:00
INC014,D003,Network Failure,Low,2025-07-06 10:00:00,2025-07-06 15:00:00
INC015,D003,Overheating,Medium,2025-06-09 03:00:00,2025-06-09 04:00:00
INC016,D011,Network Failure,High,2025-06-28 10:00:00,2025-06-28 13:00:00
INC017,D012,Overheating,Medium,2025-07-01 10:00:00,2025-07-01 11:00:00
INC018,D003,Memory Leak,Medium,2025-06-04 11:00:00,2025-06-04 15:00:00
INC019,D010,Network Failure,Low,2025-06-20 15:00:00,2025-06-20 18:00:00
INC020,D011,Memory Leak,High,2025-07-06 23:00:00,2025-07-07 03:00:00
INC021,D016,High CPU,High,2025-07-07 17:00:00,2025-07-07 22:00:00
INC022,D014,Overheating,Medium,2025-06-28 09:00:00,2025-06-28 13:00:00
INC023,D014,Network Failure,Medium,2025-07-12 00:00:00,2025-07-12 03:00:00
INC024,D015,Memory Leak,Critical,2025-08-09 03:00:00,2025-08-09 08:00:00
INC025,D020,Memory Leak,High,2025-08-05 13:00:00,2025-08-05 16:00:00
INC026,D006,Memory Leak,Medium,2025-06-16 11:00:00,2025-06-16 16:00:00
INC027,D010,Network Failure,High,2025-08-01 22:00:00,2025-08-01 23:00:00
INC028,D016,Network Failure,Medium,2025-08-09 12:00:00,2025-08-09 17:00:00
INC029,D018,Memory Leak,High,2025-08-21 01:00:00,2025-08-21 06:00:00
INC030,D014,Network Failure,Medium,2025-07-07 04:00:00,2025-07-07 05:00:00
INC031,D017,High CPU,Critical,2025-08-08 14:00:00,2025-08-08 18:00:00
INC032,D004,Network Failure,Critical,2025-06-23 21:00:00,2025-06-24 02:00:00
INC033,D016,Network Failure,High,2025-07-14 01:00:00,2025-07-14 02:00:00
INC034,D004,Memory Leak,Medium,2025-06-02 19:00:00,2025-06-02 21:00:00
INC035,D013,Overheating,High,2025-06-17 12:00:00,2025-06-17 14:00:00
INC036,D015,Overheating,Critical,2025-06-21 21:00:00,2025-06-21 22:00:00
INC037,D006,Network Failure,Low,2025-06-03 18:00:00,2025-06-03 22:00:00
INC038,D001,Memory Leak,Medium,2025-07-20 06:00:00,2025-07-20 11:00:00
INC039,D005,High CPU,High,2025-06-30 05:00:00,2025-06-30 07:00:00
INC040,D017,Network Failure,Medium,2025-06-11 22:00:00,2025-06-12 01:00:00
INC041,D006,Overheating,Medium,2025-08-07 23:00:00,2025-08-08 02:00:00
INC042,D020,Memory Leak,Critical,2025-07-09 07:00:00,2025-07-09 12:00:00
INC043,D017,Overheating,High,2025-07-13 23:00:00,2025-07-14 02:00:00
INC044,D018,Overheating,Medium,2025-07-17 10:00:00,2025-07-17 12:00:00
INC045,D017,Memory Leak,Low,2025-07-11 15:00:00,2025-07-11 18:00:00
INC046,D006,Memory Leak,High,2025-06-09 14:00:00,2025-06-09 15:00:00
INC047,D005,Network Failure,Low,2025-07-08 12:00:00,2025-07-08 17:00:00
INC048,D006,Network Failure,High,2025-07-08 09:00:00,2025-07-08 12:00:00
INC049,D009,High CPU,Medium,2025-06-21 23:00:00,2025-06-22 02:00:00
INC050,D004,Overheating,High,2025-07-12 07:00:00,2025-07-12 08:00:00
INC051,D016,High CPU,Medium,2025-07-15 18:00:00,2025-07-15 21:00:00
INC052,D001,Overheating,High,2025-08-18 09:00:00,2025-08-18 13:00:00
INC053,D012,Overheating,Low,2025-08-10 05:00:00,2025-08-10 07:00:00
INC054,D007,High CPU,High,2025-08-12 18:00:00,2025-08-12 19:00:00
INC055,D019,High CPU,Medium,2025-06-19 01:00:00,2025-06-19 03:00:00
INC056,D010,Network Failure,High,2025-06-04 23:00:00,2025-06-05 03:00:00
INC057,D010,Network Failure,Low,2025-08-19 06:00:00,2025-08-19 11:00:00
INC058,D012,High CPU,Critical,2025-07-15 10:00:00,2025-07-15 13:00:00
INC059,D013,Memory Leak,Medium,2025-08-18 19:00:00,2025-08-18 20:00:00
INC060,D007,Memory Leak,Critical,2025-08-17 08:00:00,2025-08-17 10:00:00
INC061,D008,Overheating,Medium,2025-07-27 15:00:00,2025-07-27 18:00:00
INC062,D007,High CPU,Critical,2025-07-22 12:00:00,2025-07-22 17:00:00
INC063,D007,High CPU,Medium,2025-06-11 08:00:00,2025-06-11 11:00:00
INC064,D016,Memory Leak,Medium,2025-07-01 02:00:00,2025-07-01 04:00:00
INC065,D017,Overheating,Medium,2025-07-09 14:00:00,2025-07-09 16:00:00
INC066,D017,Overheating,High,2025-08-20 20:00:00,2025-08-21 00:00:00
INC067,D012,Network Failure,High,2025-07-28 00:00:00,2025-07-28 01:00:00
INC068,D010,Network Failure,Low,2025-08-09 14:00:00,2025-08-09 19:00:00
INC069,D003,Memory Leak,Critical,2025-07-03 01:00:00,2025-07-03 06:00:00
INC070,D007,Overheating,Critical,2025-06-21 01:00:00,2025-06-21 02:00:00
INC071,D016,High CPU,Medium,2025-08-17 01:00:00,2025-08-17 05:00:00
INC072,D007,Overheating,Medium,2025-07-31 10:00:00,2025-07-31 11:00:00
INC073,D017,High CPU,High,2025-06-16 07:00:00,2025-06-16 12:00:00
INC074,D016,Memory Leak,Medium,2025-07-02 19:00:00,2025-07-02 21:00:00
INC075,D020,Overheating,High,2025-06-01 12:00:00,2025-06-01 16:00:00
INC076,D018,Overheating,Medium,2025-06-08 12:00:00,2025-06-08 16:00:00
INC077,D008,Network Failure,Critical,2025-07-22 13:00:00,2025-07-22 16:00:00
INC078,D010,Memory Leak,High,2025-07-30 16:00:00,2025-07-30 21:00:00
INC079,D018,Overheating,Medium,2025-08-13 17:00:00,2025-08-13 19:00:00
INC080,D004,Network Failure,Medium,2025-07-27 03:00:00,2025-07-27 05:00:00
INC081,D019,Overheating,High,2025-07-26 04:00:00,2025-07-26 08:00:00
INC082,D016,Network Failure,Low,2025-08-04 21:00:00,2025-08-05 02:00:00
INC083,D001,High CPU,High,2025-08-03 14:00:00,2025-08-03 18:00:00
INC084,D005,Overheating,Medium,2025-08-12 15:00:00,2025-08-12 18:00:00
INC085,D013,Network Failure,Low,2025-06-16 17:00:00,2025-06-16 20:00:00
INC086,D009,High CPU,High,2025-08-23 04:00:00,2025-08-23 07:00:00
INC087,D017,Network Failure,High,2025-08-13 21:00:00,2025-08-14 01:00:00
INC088,D004,Network Failure,High,2025-06-22 06:00:00,2025-06-22 10:00:00
INC089,D013,Memory Leak,High,2025-06-01 05:00:00,2025-06-01 09:00:00
INC090,D017,Memory Leak,Critical,2025-07-04 14:00:00,2025-07-04 16:00:00
INC091,D008,High CPU,Critical,2025-07-12 12:00:00,2025-07-12 15:00:00
INC092,D014,Overheating,Critical,2025-06-01 11:00:00,2025-06-01 12:00:00
INC093,D015,Overheating,Medium,2025-08-04 06:00:00,2025-08-04 08:00:00
INC094,D005,Overheating,Low,2025-07-04 19:00:00,2025-07-04 22:00:00
INC095,D018,Overheating,Medium,2025-08-19 22:00:00,2025-08-19 23:00:00
INC096,D020,Network Failure,Medium,2025-06-22 17:00:00,2025-06-22 22:00:00
INC097,D020,Network Failure,Critical,2025-08-03 01:00:00,2025-08-03 06:00:00
INC098,D013,Network Failure,Low,2025-07-22 03:00:00,2025-07-22 07:00:00
INC099,D002,High CPU,Low,2025-07-11 22:00:00,2025-07-12 00:00:00
INC100,D003,Memory Leak,High,2025-06-04 02:00:00,2025-06-04 03:00:00
INC101,D014,Memory Leak,Low,2025-08-14 14:00:00,2025-08-14 15:00:00
INC102,D019,Network Failure,Low,2025-07-20 11:00:00,2025-07-20 15:00:00
INC103,D005,High CPU,Critical,2025-07-22 14:00:00,2025-07-22 16:00:00
INC104,D019,Memory Leak,Medium,2025-07-15 14:00:00,2025-07-15 15:00:00
INC105,D018,Overheating,Critical,2025-08-15 21:00:00,2025-08-15 23:00:00
INC106,D010,Overheating,High,2025-08-02 03:00:00,2025-08-02 05:00:00
INC107,D015,Memory Leak,Medium,2025-07-22 11:00:00,2025-07-22 12:00:00
INC108,D012,High CPU,Critical,2025-08-02 09:00:00,2025-08-02 10:00:00
INC109,D008,Memory Leak,Medium,2025-07-21 16:00:00,2025-07-21 19:00:00
INC110,D011,Overheating,Low,2025-07-15 22:00:00,2025-07-16 00:00:00
INC111,D016,High CPU,Low,2025-08-03 13:00:00,2025-08-03 15:00:00
INC112,D010,High CPU,Medium,2025-07-01 18:00:00,2025-07-01 20:00:00
INC113,D006,Memory Leak,Low,2025-07-05 18:00:00,2025-07-05 19:00:00
INC114,D018,Network Failure,High,2025-08-17 01:00:00,2025-08-17 05:00:00
INC115,D004,High CPU,Medium,2025-07-03 21:00:00,2025-07-04 02:00:00
INC116,D006,Overheating,High,2025-07-28 23:00:00,2025-07-29 01:00:00
INC117,D014,Overheating,Medium,2025-07-25 13:00:00,2025-07-25 15:00:00
INC118,D011,Overheating,High,2025-06-28 04:00:00,2025-06-28 08:00:00
INC119,D002,Overheating,Critical,2025-07-16 04:00:00,2025-07-16 05:00:00
INC120,D004,High CPU,Low,2025-08-06 02:00:00,2025-08-06 06:00:00
INC121,D008,Network Failure,Medium,2025-07-29 00:00:00,2025-07-29 05:00:00
INC122,D011,High CPU,Critical,2025-07-14 18:00:00,2025-07-14 19:00:00
INC123,D006,Network Failure,Low,2025-08-15 17:00:00,2025-08-15 18:00:00
INC124,D015,Overheating,Medium,2025-07-18 10:00:00,2025-07-18 11:00:00
INC125,D003,Memory Leak,Critical,2025-07-03 18:00:00,2025-07-03 19:00:00
INC126,D008,High CPU,Low,2025-08-15 10:00:00,2025-08-15 15:00:00
INC127,D011,Memory Leak,Critical,2025-08-05 20:00:00,2025-08-05 22:00:00
INC128,D006,Memory Leak,Critical,2025-08-12 12:00:00,2025-08-12 14:00:00
INC129,D003,Network Failure,Medium,2025-06-12 15:00:00,2025-06-12 16:00:00
INC130,D012,Overheating,Medium,2025-08-20 22:00:00,2025-08-21 00:00:00
INC131,D003,Memory Leak,Medium,2025-07-29 00:00:00,2025-07-29 05:00:00
INC132,D005,Network Failure,Critical,2025-07-03 22:00:00,2025-07-03 23:00:00
INC133,D016,Network Failure,High,2025-08-04 09:00:00,2025-08-04 14:00:00
INC134,D010,Memory Leak,High,2025-07-10 12:00:00,2025-07-10 16:00:00
INC135,D002,Overheating,Medium,2025-08-04 05:00:00,2025-08-04 10:00:00
